Claims extracted from patent HUPD dataset,GPT-4 generated claims,Rating by Expert 1,Rating by Expert 2,Rating by Expert 3,Expert's mean score
"1. A shaft mounted cup holder assembly, comprising: a. one or more cup holder plates comprising one or more cut-outs configured for holding a drinking cup, and a central region comprising a center cut-out; and b. a central fastener, the fastener comprising an upper coupler, a lower coupler, and a central cutout region; wherein the one or more plates are positioned between the upper coupler and the lower coupler, thereby aligning the center cut-out of the one or more plates and the central cut-out region of the fastener such that the cup holder assembly may receive a shaft therethrough.","1. A shaft mounted cup holder assembly, comprising: a. one or more cup holder plates comprising one or more cut-outs configured for holding a drinking cup, and a central region comprising a center cut-out; and b. a central fastener , the fastener comprising an upper coupler, a lower coupler, and a central cutout region; wherein the one or more plates are positioned between the upper coupler and the lower coupler, thereby aligning the center cut-out of the one or more plates and the central cut-out region of the fastener such that the cup holder assembly may receive a shaft therethrough.",3,4,4,3.666666667
1. An apparatus comprising: a light guide panel including a plurality of diffraction gratings to cause light to propagate within the light guide panel by total internal reflection and scatter light in response to a presence of an object adjacent to the light guide panel; a light emitter adjacent to the light guide panel to transmit light to the plurality of diffraction gratings; and a light detector adjacent to the light guide panel to detect light propagated by the light guide panel.,1. An apparatus comprising a light guide panel including a plurality of diffraction gratings to cause light to propagate within the light guide panel by total internal reflection and scatter light in response to a presence of an object adjacent to the light guide panel a light emitter adjacent to the light guide panel to transmit light to the plurality of diffraction gratings and a light detector adjacent to the light guide panel to detect light propagated by the light guide panel.,3,3,3,3.0
"1. An aiming method for a shooting game, which is applied to a mobile terminal having a touch display screen, wherein the aiming method comprises the following steps: a positioning step: acquiring a current rotation angle of a virtual camera when the mobile terminal is in a game interface; a rotation step: acquiring a coordinate position of a contact object when detecting that there is contact on the game interface, so that the current rotation angle of the virtual camera matches the coordinate position; and an adjusting step: acquiring a corresponding waggle angle via a sensor of the mobile terminal when detecting that the mobile terminal is waggling, so that the current rotation angle of the virtual camera matches the waggle angle.","1. An aiming method for a shooting game, which is applied to a mobile terminal having a touch display screen , wherein the aiming method comprises the following steps: a positioning step: acquiring a current rotation angle of a virtual camera when the mobile terminal is in a game interface; a rotation step: acquiring a coordinate position of a contact object when detecting that there is contact on the game interface , so that the current rotation angle of the virtual camera matches the coordinate position; and an adjusting step  acquiring a corresponding waggle angle via a sensor of the mobile terminal when detecting that the mobile terminal is waggling, so that the current rotation angle of the virtual camera matches the waggle angle.",3,2,3,2.666666667
"1. A liquid crystal display apparatus, comprising: a plurality of sensing units arranged in an array, formed by a transparent conductive material, and connected to a common voltage of a driving signal; and a plurality of dummy lines, each of the dummy lines being disposed between two rows of the sensing units, wherein each of the dummy lines has a plurality of dummy line units, and each of the dummy line units corresponds to one of the sensing units, and is electrically connected to the one of the sensing units.","1. A liquid crystal display apparatus, comprising a plurality of sensing units arranged in an array, formed by a transparent conductive material, and connected to a common voltage of a driving signal and a plurality of dummy lines, each of the dummy lines being disposed between two rows of the sensing units, wherein each of the dummy lines has a plurality of dummy line units, and each of the dummy line units corresponds to one of the sensing units, and is electrically connected to the one of the sensing units.",3,3,3,3.0
"1. A method of operating an endpoint device coupled to a computing platform, the method comprising: buffering outgoing data in a first data buffer, wherein the outgoing data is to be transmitted to an external device via a first communications medium; buffering incoming data in a second data buffer, wherein the incoming data is received from the external device via the first communications medium; and enabling at least one of the first or second data buffers to selectively communicate with the computing platform, via a second communications medium, during an active window of the other data buffer.","1. A approach of operating an endpoint device coupled to a computing platform, the approach comprising buffering outgoing data in a first data buffer, wherein the outgoing data is to be transmitted to an external device via a first communications medium buffering incoming data in a second data buffer, wherein the incoming data is received from the external device via the first communications medium and enabling at least one of the first or second data buffers to selectively communicate with the computing platform, via a second communications medium, during an active window of the other data buffer.",3,3,3,3.0
"1. Dental composition comprising: filler (F1) comprising aggregated nano-sized particles in an amount of from about 30 to about 70 wt. %, filler (F2) comprising agglomerated nano-sized particles in an amount from about 1 to about 20 wt. %, hardenable component (A1) being an urethane(meth)acrylate with a functionality of at least 2 and having a molecular weight from about 400 to about 3,000 g/mol, hardenable component (A2) being a radically polymerizable (meth)acrylate with functionality of at least 2 being different from component (A1), redox curing initiator system, the dental composition not comprising non-agglomerated nano-sized filler in an amount above about 10 wt. %, wt. % with respect to the weight of the whole composition.","1. Dental composition comprising: filler  comprising aggregated nano-sized particles in an amount of from about 30 to about 70 wt. %, filler  comprising agglomerated nano-sized particles in an amount from about 1 to about 20 wt. %, hardenable component  being an urethaneacrylate with a functionality of at least 2 and having a molecular weight from about 400 to about 3,000 g/mol , hardenable component  being a radically polymerizable acrylate with functionality of at least 2 being different from component , redox curing initiator system, the dental composition not comprising non-agglomerated nano-sized filler in an amount above about 10 wt. %, wt. % with respect to the weight of the whole composition.",3,3,3,3.0
"1. An ironing apparatus for a hat, comprising: a hollow spherical conductor 110 having an opening formed at a lower portion thereof; supports installed under the spherical conductor 110 to support the spherical conductor 110 with being spaced apart from a bottom plate; and a hot air supplier 130 installed under the opening formed at the lower portion of the spherical conductor 110 to vertically supply hot air to an inner space of the spherical conductor 110.","1. An ironing apparatus for a hat, comprising: a hollow spherical conductor 110 having an opening formed at a lower portion thereof; supports installed under the spherical conductor 110 to support the spherical conductor 110 with being spaced apart from a bottom plate; and a hot air supplier 130 installed under the opening formed at the lower portion of the spherical conductor 110 to vertically supply hot air to an inner space of the spherical conductor 110.",3,3,4,3.333333333
"1. An application data synchronization method, wherein the method is applied to a terminal, a first operating system and a second operating system are installed in the terminal, a first application is installed on the first operating system, a second application is installed on the second operating system, and at least one same function is achieved by the first application and the second application, wherein the method comprises: when the second application runs on the second operating system, performing the function by using second application data, and updating the second application data, wherein the second application data is updated according to first application data, and the first application data is updated when the first application runs on the first operating system to perform the function, wherein the first application data and the second application data are stored in the terminal.","1. An application data synchronization approach, wherein the approach is applied to a terminal, a first operating system and a second operating system are installed in the terminal, a first application is installed on the first operating system, a second application is installed on the second operating system, and at least one same function is achieved by the first application and the second application, wherein the approach comprises when the second application runs on the second operating system, performing the function by using second application data, and updating the second application data, wherein the second application data is updated according to first application data, and the first application data is updated when the first application runs on the first operating system to perform the function, wherein the first application data and the second application data are stored in the terminal.",3,3,3,3.0
"1. A method for monitoring a component, the method comprising: applying an input signal to a processor core of the component; applying a further input signal to a further processor core; determining a profile of the processor core influenced by the application of the input signal to the processor core; determining a further profile of the further processor core influenced by the application of the further input signal to the further processor core; comparing the profile and the further profile, wherein an insufficient similarity between the profile and the further profile is interpreted as an indication of a malfunction of the component.","1. A method for monitoring a component, the method comprising applying an input signal to a computation unit core of the component applying a further input signal to a further computation unit core determining a profile of the computation unit core influenced by the application of the input signal to the computation unit core determining a further profile of the further computation unit core influenced by the application of the further input signal to the further computation unit core comparing the profile and the further profile, wherein an insufficient similarity between the profile and the further profile is interpreted as an indication of a malfunction of the component.",3,3,3,3.0
"1. A method for providing to a user equipment a version of an electronic book comprising media content provided as sequentially arranged sections and including a tag, said tag being representative of an associated annotation that comprises additional media content, the method comprising: identifying, in a request received from a first user equipment, a first version of an electronic book, an additional version of the electronic book, a first end user and the first user equipment as a user equipment on which an end user requires presentation of the electronic book; synchronizing the media content of the first version of the electronic book and the tag with associated content of said additional version of the electronic book, and identifying and transmitting, sequentially, to the first user equipment, media content of the first version of the electronic book together with any identified associated tag, wherein, in response to identifying a request received from the first user equipment indicating a selection of said tag, the method further comprises: identifying and transmitting, to a preferred user equipment, an annotation associated with the selected tag, such that the annotation can be presented to an end user using the preferred user equipment.","1. A method for providing to a user equipment a version of an electronic book comprising media content provided as sequentially arranged sections and including a tag, said tag being representative of an associated annotation that comprises additional media content, the method with identifying, in a request received from a first user equipment, a first version of an electronic book, an additional version of the electronic book, a first end user and the first user equipment as a user equipment on which an end user requires presentation of the electronic book synchronizing the media content of the first version of the electronic book and the tag with associated content of said additional version of the electronic book, and identifying and transmitting, sequentially, to the first user equipment, media content of the first version of the electronic book together with any identified associated tag, wherein, in response to identifying a request received from the first user equipment indicating a selection of said tag, the method further comprises identifying and transmitting, to a preferred user equipment, an annotation associated with the selected tag, such that the annotation can be presented to an end user using the preferred user equipment.",3,3,3,3.0
"1. An in-cell touch panel, comprising: a substrate, a plurality of self-capacitance electrodes located on the substrate and arranged in an array, and a touch sensing unit for determining the touch position by sensing capacitance value changes on the self-capacitance electrodes, the self-capacitance electrodes being electrically connected to the touch sensing unit via wires including a first wire and a second wire; wherein the array of the self-capacitance electrodes comprises a first column of self-capacitance electrodes and a second column of self-capacitance electrodes arranged in alternation, the number of elements in each column of self-capacitance electrodes is n and there is a submultiple m of n, wherein n and m are both positive integers and n is greater than 1, and the first column of self-capacitance electrodes includes n/m groups of self-capacitance electrodes divided in the sequence of column adjacency, each group includes m self-capacitance electrodes and the self-capacitance electrodes in the same group are electrically connected by the same first wire; the second column of self-capacitance electrodes include m groups of self-capacitance electrodes, each group includes n/m self-capacitance electrodes and the self-capacitance electrodes in the same group are electrically connected by the same second wire; wherein n/m self-capacitance electrodes in the same group in the second column of self-capacitance electrodes are respectively formed by self-capacitance electrodes, in the second column of self-capacitance electrodes, which are in row adjacency with the self-capacitance electrodes of different groups in the first column of self-capacitance electrodes.","1. An in-cell touch panel, comprising a substrate, a plurality of self-capacitance electrodes located on the substrate and arranged in an array, and a touch sensing unit for determining the touch position by sensing capacitance value changes on the self-capacitance electrodes, the self-capacitance electrodes being electrically connected to the touch sensing unit via wires including a first wire and a second wire wherein the array of the self-capacitance electrodes comprises a first column of self-capacitance electrodes and a second column of self-capacitance electrodes arranged in alternation, the number of elements in each column of self-capacitance electrodes is n and there is a submultiple m of n, wherein n and m are both positive integers and n is greater than 1, and the first column of self-capacitance electrodes includes n/m groups of self-capacitance electrodes divided in the sequence of column adjacency, each group includes m self-capacitance electrodes and the self-capacitance electrodes in the same group are electrically connected by the same first wire the second column of self-capacitance electrodes include m groups of self-capacitance electrodes, each group includes n/m self-capacitance electrodes and the self-capacitance electrodes in the same group are electrically connected by the same second wire wherein n/m self-capacitance electrodes in the same group in the second column of self-capacitance electrodes are respectively formed by self-capacitance electrodes, in the second column of self-capacitance electrodes, which are in row adjacency with the self-capacitance electrodes of different groups in the first column of self-capacitance electrodes.",3,3,3,3.0
"1. A device for dispensing a dental material comprising: a cartridge having a dispensing end extending along a longitudinal axis; the dispensing end having a dispensing opening for the dental material; the dispensing end having in essence an axially symmetric shape about the longitudinal axis, wherein the axially symmetric shape has a truncation; the truncation providing the dispensing end with a generally flat dispensing surface through which the dispensing opening extends; the dispensing surface being oriented in a non-orthogonal relationship with the longitudinal axis; the device further comprising a cap disposed over the dispensing end; the cap and the dispensing end being rotatable relative to each other about the longitudinal axis between an open position, in which an orifice in the cap uncovers the dispensing surface, and a closed position, in which a closed space is formed between the cap and the dispensing surface.","1. A device for dispensing a dental material comprising: a cartridge having a dispensing end extending along a longitudinal axis; the dispensing end having a dispensing opening for the dental material; the dispensing end having in essence an axially symmetric shape about the longitudinal axis, wherein the axially symmetric shape has a truncation; the truncation providing the dispensing end with a generally flat dispensing surface through which the dispensing opening extends; the dispensing surface being oriented in a non-orthogonal relationship with the longitudinal axis; the device further comprising a cap disposed over the dispensing end; the cap and the dispensing end being rotatable relative to each other about the longitudinal axis between an open position, in which an orifice in the cap uncovers the dispensing surface , and a closed position, in which a closed space is formed between the cap and the dispensing surface.",3,3,3,3.0
"1. A computerized device for modeling a cornea for simulating tissue cuts in the cornea, comprising a processor programmed to load patient-specific corneal data, generate a patient-specific finite element model of the cornea and determine elements in the finite element model which are separated from one another by the tissue cuts on the basis of cut data defining the tissue cuts, wherein the processor is moreover programmed to distribute a first group of tissue fibers, with main fibers that extend parallel to the outer surface of the cornea, in the finite element model in accordance with a first distribution function and to distribute a second group of tissue fibers, with inclined cross-linked fibers that do not extend parallel to the outer surface of the cornea, in the finite element model in accordance with a second distribution function, wherein the second distribution function distributes the cross-linked fibers with a non-uniform, decreasing depth distribution function (Î¦C(s)) over the depth (s) of the cornea, from the outer surface of the cornea to the inner surface of the cornea.","1. A computerized device for modeling a cornea for simulating tissue cuts in the cornea, comprising a computation unit programmed to load patient-specific corneal data, generate a patient-specific finite element model of the cornea and determine elements in the finite element model which are separated from one another by the tissue cuts on the basis of cut data defining the tissue cuts, wherein the computation unit is moreover programmed to distribute a first group of tissue fibers, with main fibers that extend parallel to the outer surface of the cornea, in the finite element model in accordance with a first distribution function and to distribute a second group of tissue fibers, with inclined cross-linked fibers that do not extend parallel to the outer surface of the cornea, in the finite element model in accordance with a second distribution function, wherein the second distribution function distributes the cross-linked fibers with a non-uniform, decreasing depth distribution function (Î¦C(s)) over the depth (s) of the cornea, from the outer surface of the cornea to the inner surface of the cornea.",4,4,4,4.0
"1. A touch sensor, comprising: a touch input sheet including: a base material; a connection terminal formed on the base material; and an insulating film that covers at least part of a base-end side of the connection terminal, excluding a tip part of the connection terminal; a flexible circuit board including an FPC film and an FPC wiring formed on the FPC film; and an electrically conductive adhesive bonding a tipmost part of the connection terminal and the FPC wiring; such that a tip of the insulating film and a tip of the FPC wiring are spaced apart from one another, such that an exposed portion adjacent to the tipmost part and not covered by the insulating film is formed on the connection terminal; the FPC film includes a protruding part further extending from the FPC wiring and extending to a location at which it overlaps, in a plan view, the insulating film, such that a space is formed between the protruding part and the exposed portion; and the touch sensor further includes an anti-rust material filling the space so as to cover the exposed portion of the connection terminal.","1. A touch sensor, comprising a touch input sheet including a base material a connection terminal formed on the base material and an insulating film that covers at least part of a base-end side of the connection terminal, excluding a tip part of the connection terminal a flexible circuit board including an FPC film and an FPC wiring formed on the FPC film and an electrically conductive adhesive bonding a tipmost part of the connection terminal and the FPC wiring such that a tip of the insulating film and a tip of the FPC wiring are spaced apart from one another, such that an exposed portion adjacent to the tipmost part and not covered by the insulating film is formed on the connection terminal the FPC film includes a protruding part further extending from the FPC wiring and extending to a location at which it overlaps, in a plan view, the insulating film, such that a space is formed between the protruding part and the exposed portion and the touch sensor further includes an anti-rust material filling the space so as to cover the exposed portion of the connection terminal.",2,3,3,2.666666667
"1. A time synchronization system, comprising: one or more terminal devices, each having a first real-time clock; and a control device having a second real-time clock of which the number of effective figures per clocking is greater then that of the first real-time clock, wherein the control device includes a preset time determinator for determining a preset time to be set to the first real-time clock of the terminal device based on the second real-time clock, and wherein the terminal device includes: a latency time timer for clocking a lapse of a latency time, the latency time being a period of time from the terminal device acquiring the preset time until the preset time being set to the first real-time clock, and the latency time being calculated in a clocking accuracy having the number of effective figures greater than that of the first real-time clock; and a time setter for setting the preset time to the first real-time clock when the latency time is lapsed.","1. A time synchronization system, comprising one or more terminal devices, each having a first real-time clock and a control device having a second real-time clock of which the number of effective figures per clocking is greater then that of the first real-time clock, wherein the control device includes a preset time determinator for determining a preset time to be set to the first real-time clock of the terminal device based on the second real-time clock, and wherein the terminal device includes a latency time timer for clocking a lapse of a latency time, the latency time being a period of time from the terminal device acquiring the preset time until the preset time being set to the first real-time clock, and the latency time being calculated in a clocking accuracy having the number of effective figures greater than that of the first real-time clock and a time setter for setting the preset time to the first real-time clock when the latency time is lapsed.",3,4,3,3.333333333
"1. A toy top, comprising: a main body; a battery; and a motor powered by the battery, wherein the main body, includes a first wheel and a second wheel that are disposed at a predetermined distance from each other along a wheel axis, and a power transmission mechanism that is capable of transmitting a power of the motor to rotate the first wheel in a first direction and to rotate the second wheel in a second direction that is different from the first direction.","1. A toy top, comprising: a main body; a battery; and a motor powered by the battery, wherein the main body , includes a first wheel and a second wheel that are disposed at a predetermined distance from each other along a wheel axis, and a power transmission mechanism that is capable of transmitting a power of the motor to rotate the first wheel in a first direction and to rotate the second wheel in a second direction that is different from the first direction.",3,3,3,3.0
"1. A display control method of an electronic device comprising: detecting a power state of the electronic device and a power-rating of at least one application; determining an application power state for at least one application, based on the detection result; and controlling the displaying of the electronic device based on the determined application power state.","1. A display control method of an electronic device comprising detecting a power state of the electronic device and a power-rating of at least one application determining an application power state for at least one application, based on the detection result and controlling the displaying of the electronic device based on the determined application power state.",3,3,3,3.0
"1. A hair dye composition containing: (A) HC BLUE No. 2; (B) DISPERSE VIOLET 1; and (C) at least one of HC YELLOW No. 2 and HC YELLOW No. 4, wherein the composition has a pH of 7 to 11.","1. A hair dye composition containing:  HC BLUE No. 2;  DISPERSE VIOLET 1; and  at least one of HC YELLOW No. 2 and HC YELLOW No. 4, wherein the composition has a pH of 7 to 11",4,4,4,4.0
"1. A photography apparatus comprising: a selecting unit configured to select one of a plurality of photography modes, including a follow up photography mode; a tomographic image acquiring unit configured to acquire a plurality of polarization-sensitive tomographic images obtained by photographing an object at different times; and a positioning unit configured to, in a case where the follow up photography mode has been selected, position the plurality of polarization-sensitive tomographic images based on a plurality of polarization planar images of the object corresponding to the plurality of polarization-sensitive tomographic images.","1. A photography apparatus comprising: a selecting unit configured to select one of a plurality of photography modes, including a follow up photography mode; a tomographic image acquiring unit configured to acquire a plurality of polarization-sensitive tomographic images obtained by photographing an object at different times; and a positioning unit configured to , in a case where the follow up photography mode has been selected , position the plurality of polarization-sensitive tomographic images based on a plurality of polarization planar images of the object corresponding to the plurality of polarization-sensitive tomographic images.",3,3,2,2.666666667
"1. An oxalic acid vaporizer for vaporizing oxalic acid crystals in a bee hive with a bee entrance for treatment to kill mites on bees and in the bee hive, comprising: a) a cup to hold oxalic acid crystals with a resistive heating element mounted on one end of an extension; b) a handle mounted on the other end of the extension with internal resistive heating element wires passing from the heating element to an internal circuit board; c) a switch on the handle connected to the circuit board; d) an LED is mounted to the handle connected to the circuit board; and e) an external electrical cord connected to the circuit board and extending out of the handle with two clamps adaptable to be connected to a 12 volt, 12 amp battery.","1. An oxalic acid vaporizer for vaporizing oxalic acid crystals in a bee hive with a bee entrance for treatment to kill mites on bees and in the bee hive, comprising: a) a cup to hold oxalic acid crystals with a resistive heating element mounted on one end of an extension; b) a handle mounted on the other end of the extension with internal resistive heating element wires passing from the heating element to an internal circuit board; c) a switch on the handle connected to the circuit board; d) an LED is mounted to the handle connected to the circuit board; and e) an external electrical cord connected to the circuit board and extending out of the handle with two clamps adaptable to be connected to a 12 volt, 12 amp battery.",3,3,3,3.0
"1. A computer-implemented method comprising: generating, by a computer-based system for multi-angle videos, a multi-angle video object (?MAV??; displaying, by the computer-based system, a first video on a first face of the MAV; and displaying, by the computer-based system, a second video on a second face of the MAV; wherein the MAV is rotatable between the first face and the second face.","1. A computer-implemented method comprising generating, by a computer-based system for multi-angle videos, a multi-angle video object (?MAV?? displaying, by the computer-based system, a first video on a first face of the MAV and displaying, by the computer-based system, a second video on a second face of the MAV wherein the MAV is rotatable between the first face and the second face.",2,3,3,2.666666667
"1. A method of creating groups using communication records of an electronic device comprising: storing the communication records in a database; creating a first group from the database based on time and location information stored in the database when a preset time arrives; retrieving a transmission list from the database, and creating a second group from the database based on correspondent identifiers included on the transmission list; retrieving a reception list from the database, and creating a third group from the database based on correspondent identifiers included on the reception list and correspondent identifiers included on the transmission list; and creating a fourth group based on information that is commonly included in at least two of the first, second and third groups.","1. A method of creating groups using communication records of an electronic device comprising storing the communication records in a database creating a first group from the database based on time and location information stored in the database when a preset time arrives retrieving a transmission list from the database, and creating a second group from the database based on correspondent identifiers included on the transmission list retrieving a reception list from the database, and creating a third group from the database based on correspondent identifiers included on the reception list and correspondent identifiers included on the transmission list and creating a fourth group based on information that is commonly included in at least two of the first, second and third groups.",3,4,4,3.666666667
1. A method of treating an inflammatory ophthalmic condition in a subject in need thereof comprising administering to the subject a therapeutically effective amount of a pharmaceutical composition comprising an ShK-based peptide having the formula SEQ ID NO:217.,1. A method of treating an inflammatory ophthalmic condition in a subject in need thereof comprising administering to the subject a therapeutically effective amount of a pharmaceutical composition comprising an ShK-based peptide having the formula SEQ ID NO:217.,3,2,3,2.666666667
"1. A computing device, comprising: a cover glass; a touch sensor component coupled to the cover glass; a liquid crystal display (LCD) coupled to the touch sensor component; and a vibration transducer coupled to the cover glass to apply vibrations to the cover glass, wherein the vibration transducer includes a transducer frame, a transducer base coupled to the transducer frame, and an extended pedestal coupled to the transducer base, wherein the extended pedestal elevates the transducer base and transducer frame, and wherein the extended pedestal is positioned adjacent to the LCD such that at least a portion of the transducer frame extends over the LCD.","1. A computing device, comprising a cover glass a touch sensor component coupled to the cover glass a liquid crystal display (LCD) coupled to the touch sensor component and a vibration transducer coupled to the cover glass to apply vibrations to the cover glass, wherein the vibration transducer includes a transducer frame, a transducer base coupled to the transducer frame, and an extended pedestal coupled to the transducer base, wherein the extended pedestal elevates the transducer base and transducer frame, and wherein the extended pedestal is positioned adjacent to the LCD such that at least a portion of the transducer frame extends over the LCD. Additional random text unrelated to core claim.",3,3,3,3.0
"1. An adjustable article of furniture comprising at least one adjustable element and an actuator system for adjusting the adjustable element, where the actuator system comprises: at least one electrically driven linear actuator, and possibly also a driven drive wheel, an electrical controller with an operation device, connection means for a power supply via mains, a power supply in the shape of a battery pack with chargeable batteries of a first type, wherein the actuator system is equipped with a frontend as an interface for the battery pack, which enables the battery pack to be supplied with a second type of chargeable batteries different than the first type of chargeable batteries wherein the battery pack with the second type of chargeable batteries in the actuator system appears as the battery pack containing the first type of chargeable batteries.","1. An adjustable article of furniture comprising at least one adjustable element and an actuator system for adjusting the adjustable element, where the actuator system comprises: at least one electrically driven linear actuator, and possibly also a driven drive wheel , an electrical controller with an operation device, connection means for a power supply via mains, a power supply in the shape of a battery pack with chargeable batteries of a first type, wherein the actuator system is equipped with a frontend as an interface for the battery pack, which enables the battery pack to be supplied with a second type of chargeable batteries different than the first type of chargeable batteries wherein the battery pack with the second type of chargeable batteries in the actuator system appears as the battery pack containing the first type of chargeable batteries.",4,3,3,3.333333333
"1. A method for interacting with a pet using a system for communicating with a pet from a user of a communication device, the system including a treat dispenser for delivery of treats to a pet, a personal computing device comprising a second processor for sending and receiving communication command signals via command recognition logic and a speaker, comprising: training the pet to answer a call from a user by causing the treat dispenser to: play an audio signal; cause one of the treats to be delivered from the treat dispenser to the pet; and stop the play of the audio signal; training the pet to respond to spoken commands of a user when played via the speaker by, when the user is in the room with the training dispenser: playing audio of a spoken command via the speaker in time proximity to when the user utters the spoken command so that the pet hears and associates the spoken command played by the speaker and the spoken command uttered by user; and causing one of the treats to be delivered from the treat dispenser to the pet; and communicating with the pet by: calling the pet by playing an audio signal; playing from the speaker of the system the spoken command uttered by the user; playing, via a video conferencing program executing on the personal computing device, at least one of audio or video of the user of the communication device; transmitting, via the video conferencing program executing on the personal computing device, at least one of audio or video of the pet to the communication device; receiving at the system a communication command; recognizing, via the command recognition logic, the communication command; and in response to the communication command, causing one of the treats to be delivered from the treat dispenser to the pet.","1. A method for interacting with a pet using a system for communicating with a pet from a user of a communication device, the system including a treat dispenser for delivery of treats to a pet, a personal computing device comprising a second processor for sending and receiving communication command signals via command recognition logic and a speaker , comprising: training the pet to answer a call from a user by causing the treat dispenser to: play an audio signal; cause one of the treats to be delivered from the treat dispenser to the pet; and stop the play of the audio signal; training the pet to respond to spoken commands of a user when played via the speaker by, when the user is in the room with the training dispenser: playing audio of a spoken command via the speaker in time proximity to when the user utters the spoken command so that the pet hears and associates the spoken command played by the speaker and the spoken command uttered by user; and causing one of the treats to be delivered from the treat dispenser to the pet; and communicating with the pet by: calling the pet by playing an audio signal; playing from the speaker of the system the spoken command uttered by the user; playing, via a video conferencing program executing on the personal computing device, at least one of audio or video of the user of the communication device; transmitting, via the video conferencing program executing on the personal computing device, at least one of audio or video of the pet to the communication device; receiving at the system a communication command; recognizing, via the command recognition logic, the communication command; and in response to the communication command, causing one of the treats to be delivered from the treat dispenser to the pet.",3,3,3,3.0
"1. A slide fastener slider, comprising: a slider body in which upper and lower blades are connected at front ends thereof to each other by a connecting post and a Y-shaped element guide passage is arranged between the upper and lower blades to extend from shoulder mouths located at a side of the connecting post to a rear mouth located at a side opposite to the connecting post; a pull tab having a body for operating the slider body, a pair of arm portions provided to extend from one end of the body and a connection rod connecting the pair of the arm portions; and a locking pawl arranged on the upper blade and having a pawl portion at one end thereof and a cover portion provided between the one end and the other end to cover at least a part of the connection rod of the pull tab, wherein the pull tab is pivotally held on the upper blade at the connecting rod thereof, wherein the locking pawl is fixed on the slider body at the other end thereof, wherein the pull tab has a rotatable region including laid-down positions where the pull tab is laid down toward the shoulder mouths and rear mouth of the slider body, and a stood-up position where the pull tab is stood up from the laid-down positions by pivotal operation of the connection rod, wherein, within the rotatable region of the pull tab, the locking pawl is elastically deformed to move the cover portion, and the pawl portion is arranged to be inserted into and removed from the element guide passage in accordance with movement of the cover portion, and wherein when the pull tab is completely laid down toward the shoulder mouths and rear mouth relative to the slider body, the pull tab has respective regions in which the pull tab is rotatable over a predetermined angle without exerting any load on the locking pawl.","1. A slide fastener slider, comprising: a slider body in which upper and lower blades are connected at front ends thereof to each other by a connecting post and a Y-shaped element guide passage is arranged between the upper and lower blades to extend from shoulder mouths located at a side of the connecting post to a rear mouth located at a side opposite to the connecting post; a pull tab having a body for operating the slider body, a pair of arm portions provided to extend from one end of the body and a connection rod connecting the pair of the arm portions; and a locking pawl arranged on the upper blade and having a pawl portion at one end thereof and a cover portion provided between the one end and the other end to cover at least a part of the connection rod of the pull tab , wherein the pull tab is pivotally held on the upper blade at the connecting rod thereof, wherein the locking pawl is fixed on the slider body at the other end thereof, wherein the pull tab has a rotatable region including laid-down positions where the pull tab is laid down toward the shoulder mouths and rear mouth of the slider body, and a stood-up position where the pull tab is stood up from the laid-down positions by pivotal operation of the connection rod, wherein, within the rotatable region of the pull tab, the locking pawl is elastically deformed to move the cover portion, and the pawl portion is arranged to be inserted into and removed from the element guide passage in accordance with movement of the cover portion, and wherein when the pull tab is completely laid down toward the shoulder mouths and rear mouth relative to the slider body, the pull tab has respective regions in which the pull tab is rotatable over a predetermined angle without exerting any load on the locking pawl.",3,3,3,3.0
"1. A computer system for virtual machine backup, the computer system comprising: a processor unit arranged to run a hypervisor running one or more virtual machines; a cache connected to the processor unit and comprising a plurality of cache rows, each cache row comprising a memory address, a cache line and an image modification flag; and a memory connected to the cache and arranged to store an image of at least one virtual machine; wherein: the processor unit is arranged to define a log in the memory; and the cache further comprises a cache controller arranged to: set the image modification flag for a cache line modified by a virtual machine being backed up, but not for a cache line modified by the hypervisor operating in privilege mode; periodically check the image modification flags; and write only the memory address of the flagged cache rows in the defined log.","1. A computer system for virtual machine backup, the computer system comprising a computation unit unit arranged to run a hypervisor running one or more virtual machines a cache connected to the computation unit unit and comprising a plurality of cache rows, each cache row comprising a data storage address, a cache line and an image modification flag and a data storage connected to the cache and arranged to store an image of at least one virtual machine wherein the computation unit unit is arranged to define a log in the data storage and the cache further comprises a cache controller arranged to set the image modification flag for a cache line modified by a virtual machine being backed up, but not for a cache line modified by the hypervisor operating in privilege mode periodically check the image modification flags and write only the data storage address of the flagged cache rows in the defined log.",3,3,3,3.0
